# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8229		3831		3057
1		7421		6728		3109
2		6933		9262		3205
3		6291		11490		3184
4		5911		13456		3214
5		5511		15206		3271
6		5163		16758		3248
7		4815		18213		3242
8		4541		19442		3276
9		4357		20622		3272
10		4159		21613		3282
11		3964		22522		3313
12		3786		23424		3305
13		3650		24189		3289
14		3536		24918		3313
15		3441		25584		3323
16		3362		26197		3322
17		3272		26712		3311
18		3176		27249		3325
19		3104		27750		3327
20		3059		28213		3329
21		2997		28660		3323
22		2932		29122		3334
23		2891		29511		3322
24		2805		29978		3332
25		2753		30377		3334
26		2719		30769		3325
27		2657		31131		3337
28		2607		31497		3337
29		2566		31825		3339
30		2531		32131		3337
31		2476		32396		3351
32		2433		32646		3342
33		2396		32894		3336
34		2398		33133		3342
35		2379		33362		3336
36		2361		33574		3345
37		2351		33770		3334
38		2331		33966		3340
39		2297		34185		3345
40		2256		34351		3351
41		2238		34533		3347
42		2216		34699		3343
43		2194		34847		3342
44		2189		35010		3331
45		2162		35178		3344
46		2135		35309		3352
47		2114		35421		3345
48		2108		35495		3349
49		2100		35565		3344
50		2102		35653		3344
51		2088		35743		3341
52		2075		35815		3335
53		2074		35906		3340
54		2061		35974		3339
55		2059		36083		3347
56		2054		36161		3349
57		2043		36234		3355
58		2035		36306		3348
59		2008		36393		3351
60		1995		36455		3354
61		1986		36520		3354
62		1971		36576		3358
63		1982		36623		3362
64		1978		36683		3359
65		1986		36745		3359
66		1974		36810		3364
67		1976		36880		3368
68		1964		36940		3372
69		1963		36989		3365
70		1949		37050		3360
71		1941		37103		3366
72		1934		37139		3364
73		1933		37185		3367
74		1936		37242		3358
75		1925		37312		3357
76		1925		37365		3361
77		1923		37430		3356
78		1928		37481		3360
79		1914		37530		3357
80		1910		37567		3355
81		1916		37614		3356
82		1907		37651		3359
83		1900		37684		3351
84		1917		37724		3354
85		1912		37793		3352
86		1910		37824		3353
87		1904		37866		3360
88		1886		37898		3351
89		1887		37922		3351
90		1889		37940		3352
91		1883		37955		3350
92		1880		37972		3352
93		1882		37996		3352
94		1877		38020		3346
95		1876		38039		3354
96		1875		38053		3351
97		1875		38068		3347
98		1871		38084		3351
99		1874		38107		3348
100		1875		38132		3355
101		1869		38158		3351
102		1862		38175		3353
103		1866		38199		3355
104		1870		38219		3350
105		1870		38244		3353
106		1870		38273		3353
107		1867		38292		3351
108		1869		38309		3353
109		1866		38332		3351
110		1864		38364		3352
111		1869		38401		3349
112		1859		38440		3347
113		1851		38456		3348
114		1855		38470		3352
115		1857		38488		3351
116		1853		38512		3348
117		1849		38531		3349
118		1848		38552		3346
119		1850		38569		3349
120		1833		38596		3348
121		1834		38607		3347
122		1837		38621		3348
123		1830		38640		3351
124		1831		38661		3342
125		1817		38692		3355
126		1820		38708		3349
127		1813		38723		3351
128		1815		38745		3351
129		1815		38764		3354
130		1819		38788		3351
131		1815		38807		3352
132		1813		38845		3350
133		1814		38859		3348
134		1814		38877		3349
135		1814		38892		3350
136		1816		38905		3353
137		1815		38917		3349
138		1822		38939		3348
139		1814		38975		3354
140		1813		38996		3349
141		1811		39006		3352
142		1806		39025		3354
143		1806		39039		3350
144		1806		39050		3354
145		1807		39065		3354
146		1815		39078		3355
147		1811		39096		3352
148		1812		39119		3356
149		1812		39148		3355
150		1811		39164		3352
151		1806		39172		3350
152		1805		39179		3353
153		1804		39194		3351
154		1803		39209		3354
155		1798		39220		3352
156		1795		39234		3352
157		1796		39238		3352
158		1793		39247		3351
159		1791		39252		3349
