# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4278		2253		1062
1		3712		4264		1256
2		3473		6139		1357
3		3288		7932		1410
4		3186		9599		1451
5		3092		11205		1465
6		2998		12768		1496
7		2951		14278		1509
8		2894		15766		1555
9		2838		17218		1542
10		2807		18661		1552
11		2775		20088		1548
12		2763		21493		1570
13		2713		22867		1554
14		2679		24196		1565
15		2644		25478		1554
16		2631		26740		1564
17		2613		28006		1562
18		2589		29261		1579
19		2565		30470		1586
20		2543		31669		1592
21		2517		32849		1597
22		2494		34019		1597
23		2483		35166		1594
24		2454		36316		1601
25		2438		37437		1611
26		2409		38543		1615
27		2398		39648		1633
28		2371		40720		1638
29		2355		41759		1630
30		2345		42779		1631
31		2327		43795		1624
32		2311		44791		1630
33		2295		45761		1629
34		2276		46726		1632
35		2265		47658		1634
36		2257		48581		1640
37		2238		49492		1635
38		2229		50390		1637
39		2221		51276		1637
40		2214		52155		1641
41		2213		53028		1642
42		2202		53894		1643
43		2198		54759		1643
44		2194		55610		1647
45		2191		56454		1648
46		2187		57296		1652
47		2178		58143		1652
48		2176		58987		1657
49		2175		59828		1656
50		2172		60668		1657
51		2169		61503		1656
52		2167		62338		1661
53		2163		63167		1657
54		2156		63989		1661
55		2156		64810		1660
56		2152		65630		1665
57		2146		66443		1661
58		2146		67249		1663
59		2145		68052		1663
60		2146		68858		1663
61		2141		69662		1659
62		2138		70460		1661
63		2134		71256		1658
64		2132		72045		1664
65		2128		72835		1663
66		2127		73625		1662
67		2124		74410		1663
68		2124		75190		1663
69		2123		75971		1663
70		2120		76746		1661
71		2118		77520		1658
72		2115		78290		1662
73		2111		79054		1663
74		2108		79814		1666
75		2104		80569		1666
76		2103		81322		1668
77		2102		82071		1668
78		2102		82817		1668
79		2097		83564		1667
80		2096		84306		1667
81		2094		85047		1670
82		2092		85789		1668
83		2091		86528		1669
84		2088		87266		1672
85		2086		88002		1671
86		2084		88732		1672
87		2080		89459		1669
88		2079		90182		1670
89		2076		90901		1672
90		2073		91621		1671
91		2073		92335		1671
92		2072		93048		1670
93		2071		93760		1670
94		2066		94473		1672
95		2063		95176		1672
96		2063		95876		1672
97		2060		96577		1673
98		2060		97275		1673
99		2057		97968		1675
100		2053		98657		1673
101		2051		99337		1673
102		2049		100013		1672
103		2048		100689		1672
104		2047		101363		1672
105		2045		102037		1673
106		2042		102708		1673
107		2041		103373		1673
108		2040		104036		1673
109		2037		104697		1674
110		2034		105360		1673
111		2030		106016		1679
112		2029		106661		1681
113		2029		107305		1681
114		2027		107951		1681
115		2025		108591		1685
116		2022		109226		1688
117		2022		109857		1685
118		2018		110487		1689
119		2018		111109		1689
120		2016		111731		1688
121		2016		112351		1688
122		2015		112970		1688
123		2015		113589		1688
124		2015		114208		1688
125		2013		114827		1688
126		2012		115440		1689
127		2012		116052		1689
128		2012		116664		1689
129		2012		117276		1689
130		2011		117889		1689
131		2010		118500		1687
132		2009		119109		1686
133		2009		119715		1686
134		2007		120319		1687
135		2008		120923		1687
136		2007		121527		1688
137		2007		122130		1688
138		2006		122731		1687
139		2005		123334		1686
140		2004		123932		1688
141		2004		124530		1687
142		2003		125127		1689
143		2003		125722		1688
144		2002		126316		1689
145		2001		126910		1688
146		1999		127502		1689
147		1999		128091		1688
148		1998		128683		1687
149		1998		129273		1687
150		1997		129864		1689
151		1995		130450		1687
152		1995		131034		1687
153		1994		131617		1687
154		1994		132199		1687
155		1994		132781		1687
156		1993		133362		1689
157		1993		133942		1689
158		1992		134521		1689
159		1989		135098		1692
160		1989		135670		1692
161		1989		136242		1692
162		1988		136813		1691
163		1988		137383		1691
164		1987		137952		1693
165		1987		138520		1693
166		1986		139089		1692
167		1986		139655		1692
168		1985		140222		1692
169		1986		140788		1694
170		1986		141355		1693
171		1984		141920		1696
172		1984		142482		1696
173		1984		143044		1696
174		1983		143606		1696
175		1983		144168		1696
176		1983		144730		1696
177		1982		145291		1696
178		1981		145850		1696
179		1980		146407		1697
180		1980		146963		1697
181		1980		147519		1697
182		1980		148075		1697
183		1980		148631		1697
184		1980		149187		1697
185		1980		149743		1697
186		1980		150299		1697
187		1980		150855		1697
188		1980		151411		1697
189		1980		151967		1697
190		1980		152523		1697
191		1980		153079		1697
192		1980		153635		1697
193		1980		154191		1697
194		1980		154747		1697
195		1980		155303		1697
196		1979		155858		1698
197		1978		156411		1697
198		1978		156963		1697
199		1978		157515		1697
200		1978		158067		1697
201		1977		158618		1696
202		1977		159168		1696
203		1976		159717		1698
204		1976		160265		1698
205		1976		160813		1698
206		1976		161361		1698
207		1976		161909		1698
208		1976		162457		1698
209		1976		163005		1698
210		1976		163553		1698
211		1976		164101		1698
212		1976		164649		1698
213		1975		165196		1698
214		1975		165742		1698
215		1975		166288		1698
216		1974		166835		1698
217		1973		167378		1698
218		1973		167920		1698
219		1973		168462		1698
220		1973		169004		1698
221		1971		169544		1698
222		1972		170084		1699
223		1971		170627		1699
224		1971		171167		1699
225		1971		171707		1699
226		1971		172247		1699
227		1971		172787		1699
228		1971		173327		1699
229		1971		173867		1699
230		1971		174407		1699
231		1971		174947		1699
232		1971		175487		1699
233		1971		176027		1699
234		1971		176567		1699
235		1971		177107		1699
236		1971		177647		1699
237		1971		178187		1699
238		1970		178726		1701
239		1970		179264		1701
240		1970		179802		1701
241		1970		180340		1701
242		1970		180878		1701
243		1970		181416		1701
244		1970		181954		1701
245		1970		182492		1701
246		1970		183030		1701
247		1970		183568		1701
248		1970		184106		1701
249		1970		184644		1701
250		1970		185182		1701
251		1970		185720		1701
252		1970		186258		1701
253		1969		186795		1700
254		1969		187331		1700
255		1969		187867		1700
256		1969		188403		1700
257		1969		188939		1700
258		1969		189475		1700
259		1969		190011		1700
260		1969		190547		1700
261		1969		191083		1700
262		1968		191618		1702
263		1968		192152		1702
264		1968		192686		1702
265		1968		193220		1702
266		1968		193754		1702
267		1968		194288		1702
268		1968		194822		1702
269		1967		195355		1702
270		1967		195887		1702
271		1967		196419		1702
272		1966		196950		1704
273		1966		197480		1704
274		1965		198011		1702
275		1965		198539		1702
276		1964		199066		1704
277		1964		199592		1704
278		1964		200118		1704
279		1964		200644		1704
280		1964		201170		1704
281		1964		201696		1704
282		1963		202221		1704
283		1963		202745		1704
284		1963		203269		1704
285		1963		203793		1704
286		1963		204317		1704
287		1963		204841		1704
288		1963		205365		1704
289		1963		205889		1704
290		1963		206413		1704
291		1962		206936		1704
292		1962		207458		1704
293		1962		207980		1704
294		1962		208502		1704
295		1962		209024		1704
296		1962		209546		1704
297		1962		210068		1704
298		1962		210590		1704
299		1962		211112		1704
300		1962		211634		1704
301		1962		212156		1704
