# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8237		3752		3075
1		7321		6602		3113
2		6739		9126		3160
3		6206		11328		3209
4		5724		13250		3252
5		5342		14939		3236
6		4992		16480		3261
7		4665		17844		3225
8		4402		18985		3252
9		4194		20044		3296
10		4008		20951		3278
11		3881		21789		3309
12		3759		22618		3271
13		3590		23363		3279
14		3461		24051		3284
15		3363		24689		3313
16		3244		25266		3312
17		3155		25816		3286
18		3062		26271		3301
19		2943		26791		3323
20		2885		27202		3322
21		2788		27598		3323
22		2774		28007		3330
23		2678		28353		3325
24		2627		28660		3307
25		2581		28967		3323
26		2526		29264		3337
27		2533		29520		3342
28		2513		29795		3331
29		2462		30060		3337
30		2422		30296		3344
31		2404		30532		3334
32		2390		30743		3339
33		2360		30922		3339
34		2329		31100		3352
35		2302		31272		3356
36		2297		31402		3350
37		2264		31571		3348
38		2262		31695		3365
39		2237		31840		3359
40		2223		31939		3354
41		2208		32049		3340
42		2210		32148		3348
43		2203		32247		3344
44		2185		32355		3345
45		2176		32472		3346
46		2184		32582		3348
47		2166		32660		3340
48		2144		32757		3345
49		2141		32850		3339
50		2151		32949		3347
51		2129		33060		3341
52		2122		33150		3343
53		2109		33223		3360
54		2126		33302		3354
55		2117		33393		3361
56		2112		33478		3353
57		2103		33585		3348
58		2113		33663		3348
59		2094		33743		3348
60		2085		33820		3356
61		2083		33885		3355
62		2079		33960		3351
63		2071		34033		3349
64		2076		34112		3360
65		2070		34174		3362
66		2072		34255		3361
67		2073		34350		3350
68		2059		34430		3350
69		2043		34511		3354
70		2049		34588		3346
71		2030		34673		3350
72		2026		34742		3339
73		2027		34800		3346
74		2001		34868		3353
75		1995		34940		3351
76		1990		34989		3358
77		1983		35040		3354
78		1972		35090		3347
79		1976		35139		3350
80		1972		35181		3355
81		1973		35230		3351
82		1964		35289		3353
83		1965		35342		3354
84		1953		35400		3353
85		1936		35444		3354
86		1931		35473		3350
87		1927		35508		3351
88		1921		35546		3354
89		1920		35571		3352
90		1916		35594		3351
91		1913		35626		3350
92		1920		35671		3344
93		1917		35702		3350
94		1925		35730		3347
95		1908		35749		3351
96		1904		35770		3347
97		1902		35788		3350
98		1901		35802		3344
99		1899		35812		3345
100		1903		35818		3347
101		1900		35834		3348
102		1893		35849		3347
103		1893		35859		3350
104		1899		35872		3351
105		1900		35880		3354
106		1898		35899		3353
107		1898		35910		3354
108		1897		35923		3354
109		1899		35939		3351
110		1901		35953		3352
111		1893		35971		3354
112		1892		35988		3352
113		1886		35998		3354
114		1887		36012		3349
115		1893		36032		3348
116		1890		36055		3349
117		1886		36079		3352
118		1883		36091		3353
119		1883		36102		3352
120		1881		36119		3355
121		1880		36125		3358
122		1878		36138		3358
123		1879		36148		3359
124		1883		36159		3356
125		1882		36175		3358
126		1878		36183		3359
127		1875		36187		3358
128		1875		36196		3360
129		1878		36204		3360
130		1873		36209		3358
131		1871		36217		3357
132		1874		36226		3359
133		1871		36232		3356
134		1871		36246		3355
135		1871		36248		3355
136		1875		36258		3355
137		1876		36262		3356
138		1871		36269		3355
139		1871		36271		3355
140		1871		36272		3355
141		1869		36283		3354
142		1869		36286		3355
143		1869		36292		3357
144		1867		36298		3358
145		1868		36303		3359
146		1866		36308		3358
147		1866		36311		3359
148		1868		36317		3359
