# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		89780		2191		2111
1		63259		3416		2040
2		51277		4113		2023
3		47556		4501		2037
4		45545		4764		2042
5		44543		4933		2038
6		43760		5071		2023
7		43313		5193		2036
8		42988		5311		2021
9		42770		5373		2030
10		42587		5432		2030
11		42533		5478		2036
12		42447		5521		2035
13		42404		5553		2041
14		42332		5584		2045
15		42248		5619		2040
16		42217		5644		2033
17		42192		5662		2031
18		42143		5674		2029
19		42106		5689		2036
20		42087		5700		2035
21		42075		5708		2035
22		42053		5722		2031
23		42027		5729		2032
24		42020		5732		2030
25		41985		5739		2033
26		41982		5747		2034
27		41976		5754		2032
28		41966		5760		2029
29		41969		5767		2031
30		41970		5769		2029
31		41957		5776		2030
32		41946		5780		2029
33		41963		5787		2030
34		41952		5790		2031
35		41954		5793		2032
36		41951		5797		2032
37		41946		5800		2031
38		41969		5808		2034
39		41972		5812		2032
40		41969		5818		2031
41		41969		5818		2031
42		41968		5819		2030
43		41961		5821		2031
44		41954		5822		2031
45		41954		5822		2031
46		41950		5823		2030
47		41937		5824		2029
48		41937		5824		2029
49		41937		5824		2029
50		41934		5826		2030
51		41945		5829		2028
52		41930		5833		2030
53		41927		5834		2029
54		41925		5837		2028
55		41919		5840		2025
56		41918		5841		2025
57		41918		5841		2025
58		41918		5841		2025
59		41916		5842		2024
60		41916		5842		2024
61		41914		5843		2025
62		41913		5844		2025
63		41912		5845		2026
64		41902		5846		2026
65		41902		5846		2026
66		41904		5847		2026
67		41904		5847		2026
68		41904		5847		2026
69		41904		5847		2026
70		41905		5848		2026
71		41908		5849		2026
72		41909		5850		2026
73		41911		5851		2026
74		41911		5851		2026
75		41917		5852		2026
76		41917		5852		2026
77		41917		5852		2026
78		41917		5852		2026
79		41917		5852		2026
80		41917		5852		2026
81		41915		5853		2026
82		41915		5853		2026
83		41915		5853		2026
84		41915		5853		2026
85		41915		5853		2026
86		41915		5853		2026
87		41915		5853		2026
88		41914		5854		2026
89		41917		5855		2026
90		41917		5855		2026
91		41917		5855		2026
92		41917		5855		2026
93		41917		5855		2026
94		41917		5855		2026
95		41917		5855		2026
96		41916		5856		2026
97		41916		5856		2026
98		41920		5857		2026
99		41920		5857		2026
100		41920		5857		2026
101		41919		5858		2028
102		41919		5858		2028
103		41919		5858		2028
104		41919		5858		2028
105		41919		5858		2028
106		41919		5858		2028
107		41919		5858		2028
108		41919		5858		2028
109		41919		5858		2028
110		41919		5858		2028
111		41919		5858		2028
112		41919		5858		2028
113		41919		5858		2028
114		41919		5858		2028
115		41908		5859		2026
116		41912		5862		2027
117		41911		5866		2027
118		41908		5869		2024
119		41908		5869		2024
120		41908		5869		2024
121		41908		5869		2024
122		41908		5869		2024
123		41908		5869		2024
124		41908		5869		2024
125		41908		5869		2024
126		41908		5869		2024
127		41908		5869		2024
128		41908		5869		2024
129		41908		5869		2024
130		41908		5869		2024
131		41908		5869		2024
132		41908		5869		2024
133		41908		5869		2024
134		41908		5869		2024
135		41908		5869		2024
136		41908		5869		2024
137		41907		5870		2024
138		41907		5870		2024
139		41907		5870		2024
140		41907		5870		2024
141		41907		5870		2024
142		41907		5870		2024
143		41907		5870		2024
144		41907		5870		2024
145		41910		5871		2024
146		41910		5871		2024
147		41910		5871		2024
148		41910		5871		2024
149		41910		5871		2024
150		41910		5871		2024
151		41910		5871		2024
152		41911		5872		2025
153		41911		5872		2025
154		41911		5872		2025
155		41911		5872		2025
156		41911		5872		2025
157		41911		5872		2025
158		41911		5872		2025
159		41911		5872		2025
160		41911		5872		2025
161		41911		5872		2025
162		41911		5872		2025
163		41911		5872		2025
